name,redshift,dm,dmerr,velocity,distance,sigma_distance,host,type,coordinates,coords
2018br,0.063,35.73325717,0.047186785,18886.924854,140.1688253954216,3.0459130858170713,,SN Ia,,03:07:52.646 -45:44:25.12
2020abkq,0.062,34.3520288,0.126809443,18587.132395999997,74.2003168831191,4.333143176554543,WISEA J093022.57-212710.6,SN Ia,,09:30:22.531 -21:27:12.93
2020acei,0.082,35.93511054,0.154285578,24582.981556,153.82329429058834,10.929319555469041,WISEA J094405.60-181129.6,SN Ia,,09:44:05.626 -18:11:31.80
2020ackf,0.063,35.20436123,0.973962336,18886.924854,109.8682598522983,49.27879652030101,,SN Ia,,06:53:39.252 +19:05:13.01
2020acrz,0.069,35.72704133,0.303197964,20685.679602,139.76816583562174,19.515524640175066,,SN Ia,,05:32:59.255 -19:07:02.63
2020wtp,0.07,34.34083615,0.086349705,20985.47206,73.81884232073617,2.9354438167865453,,SN Ia,,08:19:59.713 +07:47:37.23
2021aafa,0.1,35.37662674,0.249453056,29979.2458,118.9392917309453,13.663433931158904,,SN Ia-91T-like,,01:01:43.084 -13:40:13.34
2021aele,0.077,33.39927929,0.165327096,23084.019266,47.84712617274351,3.6428859917439578,,SN Ia,,03:35:32.564 -28:30:51.62
2021aq,0.078,32.19663196,0.387052197,23383.811724,27.49960096413352,4.901642278826984,,SN Ia,,03:11:05.699 -25:59:57.77
2021fna,0.08,33.46594425,0.232696651,23983.39664,49.33883038609778,5.287186954247151,,SN Ia,,10:16:22.749 -23:11:58.01
2021tk,0.08,35.57135239,0.184016717,23983.39664,130.09795740462854,11.024869072749935,,SN Ia,,10:59:27.937 -11:56:25.70
2021twb,0.065,35.02922666,0.144508434,19486.50977,101.3550359448116,6.745035054652748,,SN Ia,,00:47:07.790 -25:39:43.16
2021uga,0.09,34.8417379,0.027420472,26981.321219999998,92.97101663912214,1.1740002531888005,,SN Ia,,16:31:15.449 +12:19:17.60
2021umz,0.076,33.73062011,0.077386121,22784.226808,55.734488786122306,1.986244851269758,,SN Ia-91T-like,,19:26:34.468 -26:20:50.76
2021zrr,0.061,33.93084699,0.165352758,18287.339937999997,61.118037134523696,4.654001570294527,2MASX J02402292-1826063,SN Ia,,02:40:23.015 -18:26:13.29
2021zwy,0.097,35.31669887,0.212869489,29079.868426,115.70170903982297,11.342241131776804,,SN Ia,,23:09:03.477 -15:47:03.74
2022rsb,0.096,34.71822942,0.041871502,28780.075967999997,87.83060696260796,1.6935971274510992,SDSS J221030.60+000210.5,SN Ia,,22:10:30.778 +00:02:08.79
