name,redshift,dm,dmerr
2017glk,0.07,36.50320361,0.065961195
2018agb,0.042006,34.14068682,0.258529352
2018br,0.063,35.73325717,0.047186785
2018hhn,0.0288,33.0944199,0.132393241
2018hib,0.016291,31.52616609,0.2765386
2018hjw,0.038,35.85194352,0.190526838
2019bka,0.024,34.37115752,0.033336179
2019sgr,0.032,36.08617145,0.055651574
2019shu,0.057123,37.49561646,0.051254954
2020abjl,0.079,38.71661525,0.228084699
2020abkq,0.062,34.3520288,0.126809443
2020acai,0.02147,35.79111719,0.350476326
2020acei,0.082,35.93511054,0.154285578
2020ackf,0.063,35.20436123,0.973962336
2020acrz,0.069,35.72704133,0.303197964
2020acts,0.06,37.25847457,0.067530216
2020wtp,0.07,34.34083615,0.086349705
2020wts,0.05,36.78863632,0.198366238
2020zyy,0.059,37.10421574,0.172547816
2021aafa,0.1,35.37662674,0.249453056
2021aele,0.077,33.39927929,0.165327096
2021agjd,0.0395,35.15201842,0.392439995
2021agqu,0.077,37.03026494,0.255253214
2021aq,0.078,32.19663196,0.387052197
2021cys,0.06,32.98409194,0.224834674
2021dam,0.054,35.77181839,0.572138275
2021fbc,0.057,36.98097315,0.271458469
2021fna,0.08,33.46594425,0.232696651
2021ghc,0.046,34.36689914,0.060040614
2021lrp,0.073,38.72562374,0.411459547
2021lug,0.04,35.47797021,0.096618012
2021mw,0.06,36.79543679,0.023932603
2021pit,0.003898,31.50596649,0.064118868
2021pp,0.09,36.82858929,0.040072296
2021slh,0.085,38.6532521,0.017012345
2021stz,0.08,37.75774955,0.223830522
2021tk,0.08,35.57135239,0.184016717
2021tnd,0.083,37.25780549,0.050977056
2021ttg,0.068,37.33130093,0.042318109
2021tty,0.060332,37.90396763,0.285739424
2021twb,0.065,35.02922666,0.144508434
2021uga,0.09,34.8417379,0.027420472
2021uhx,0.046247,35.720259,0.007533585
2021umz,0.076,33.73062011,0.077386121
2021wh,0.03,33.83814111,0.377867392
2021zo,0.03,32.31202312,0.162510393
2021zrr,0.061,33.93084699,0.165352758
2021zwy,0.097,35.31669887,0.212869489
2021zzu,0.037,33.50843867,0.057428985
2022aff,0.055,35.06144258,0.237525001
2022ais,0.054,35.79242054,0.502405655
2022ait,0.03,32.38839199,0.037986567
2022ctp,0.06,37.43243076,0.44767187
2022ctu,0.058,37.37262178,0.449323764
2022ddo,0.088,38.00626978,0.409450704
2022dtv,0.028617,33.89794303,0.027926208
2022eqn,0.032,36.23128293,0.059293498
2022fbf,0.05,35.04708265,0.050453904
2022fcc,0.025851,34.84292212,0.043757262
2022mhe,0.02874,33.42901624,0.062966928
2022qot,0.095,38.82083868,0.164116794
2022rsb,0.096,34.71822942,0.041871502
2022ssk,0.042,34.07058347,0.124354126
2022szg,0.06,36.94734163,0.073717184
2023alf,0.033,35.75794041,0.109519499
LSQ12dwl,0.01377,29.70009042,0.854073227
LSQ13fn,0.064,36.79346669,0.008396829
